,lon,lat,date,rain
535,21.25,-26.25,02.01.90,1.027073026
536,23.75,-26.25,02.01.90,2.686784983
537,21.25,-28.75,03.01.90,1.029388905
538,23.75,-28.75,03.01.90,1.974070311
539,21.25,-26.25,03.01.90,1.404750109
540,23.75,-26.25,03.01.90,2.276676655
541,21.25,-28.75,04.01.90,1.885492563
542,23.75,-28.75,04.01.90,1.790823936
543,21.25,-26.25,04.01.90,1.426210642
544,23.75,-26.25,04.01.90,2.14145875
545,21.25,-28.75,05.01.90,0.038530946
546,23.75,-28.75,05.01.90,0.047137726
547,21.25,-26.25,05.01.90,0.018565308
548,23.75,-26.25,05.01.90,0.054423906
549,21.25,-28.75,06.01.90,0.649579108
550,23.75,-28.75,06.01.90,0.515015543
551,21.25,-26.25,06.01.90,0.103434518
552,23.75,-26.25,06.01.90,0.053450972
553,21.25,-28.75,07.01.90,0.015942469
554,23.75,-28.75,07.01.90,0.027445288
555,21.25,-26.25,07.01.90,0.015126921
556,23.75,-26.25,07.01.90,0.025528541
557,21.25,-28.75,08.01.90,0.007073335
558,23.75,-28.75,08.01.90,0.069110326
559,21.25,-26.25,08.01.90,0.000216011
560,23.75,-26.25,08.01.90,0.030714124
561,21.25,-28.75,09.01.90,0.050279383
562,23.75,-28.75,09.01.90,0.083772466
563,21.25,-26.25,09.01.90,0.01194552
564,23.75,-26.25,09.01.90,0.084677979
565,21.25,-28.75,10.01.90,0.003699985
566,23.75,-28.75,10.01.90,0.053633455
567,21.25,-26.25,10.01.90,0.181252211
568,23.75,-26.25,10.01.90,0.564398944
569,21.25,-28.75,11.01.90,0.130564094
570,23.75,-28.75,11.01.90,0.242121607
571,21.25,-26.25,11.01.90,0.203321293
572,23.75,-26.25,11.01.90,0.294481426
573,21.25,-28.75,12.01.90,0.911707163
574,23.75,-28.75,12.01.90,1.328889132
575,21.25,-26.25,12.01.90,1.082792759
576,23.75,-26.25,12.01.90,1.509000063
577,21.25,-28.75,01.01.91,2.786705971
578,23.75,-28.75,01.01.91,4.234721661
579,21.25,-26.25,01.01.91,3.735988855
580,23.75,-26.25,01.01.91,5.711762428
581,21.25,-28.75,02.01.91,0.63799876
582,23.75,-28.75,02.01.91,2.513234615
