date,rain,month,year,scen
16.10.17,40.199116,10,2017,RCP2.6
16.11.17,78.71971,11,2017,RCP2.6
16.12.17,143.75677,12,2017,RCP2.6
16.01.18,129.3836,1,2018,RCP2.6
15.02.18,139.3441,2,2018,RCP2.6
16.03.18,167.01474,3,2018,RCP2.6
16.04.18,91.19639,4,2018,RCP2.6
16.05.18,66.71626,5,2018,RCP2.6
16.06.18,21.165653,6,2018,RCP2.6
16.07.18,2.8055613,7,2018,RCP2.6
16.08.18,14.408667,8,2018,RCP2.6
16.09.18,30.43545,9,2018,RCP2.6
16.10.18,62.848915,10,2018,RCP2.6
16.11.18,92.61126,11,2018,RCP2.6
16.12.18,130.36047,12,2018,RCP2.6
16.01.19,157.1838,1,2019,RCP2.6
15.02.19,127.04814,2,2019,RCP2.6
16.03.19,125.01919,3,2019,RCP2.6
16.04.19,56.28944,4,2019,RCP2.6
16.05.19,64.17699,5,2019,RCP2.6
16.06.19,16.891165,6,2019,RCP2.6
16.07.19,10.167714,7,2019,RCP2.6
16.08.19,19.009281,8,2019,RCP2.6
16.09.19,16.684546,9,2019,RCP2.6
16.10.19,92.328804,10,2019,RCP2.6
16.11.19,103.147125,11,2019,RCP2.6
16.12.19,143.91837,12,2019,RCP2.6
16.01.20,177.26927,1,2020,RCP2.6
15.02.20,169.70818,2,2020,RCP2.6
16.03.20,111.744446,3,2020,RCP2.6
16.04.20,71.367355,4,2020,RCP2.6
16.05.20,53.343952,5,2020,RCP2.6
16.06.20,22.79126,6,2020,RCP2.6
16.07.20,9.257866,7,2020,RCP2.6
16.08.20,11.614305,8,2020,RCP2.6
16.09.20,17.250128,9,2020,RCP2.6
16.10.20,82.31685,10,2020,RCP2.6
16.11.20,109.6604,11,2020,RCP2.6
16.12.20,103.51976,12,2020,RCP2.6
16.01.21,165.50842,1,2021,RCP2.6
15.02.21,114.4703,2,2021,RCP2.6
16.03.21,125.98021,3,2021,RCP2.6
16.04.21,112.51962,4,2021,RCP2.6
16.05.21,30.173965,5,2021,RCP2.6
16.06.21,30.547686,6,2021,RCP2.6
16.07.21,5.1828103,7,2021,RCP2.6
16.08.21,4.934326,8,2021,RCP2.6
16.09.21,11.60905,9,2021,RCP2.6
16.10.21,54.10791,10,2021,RCP2.6
16.11.21,71.422005,11,2021,RCP2.6
16.12.21,123.43121,12,2021,RCP2.6
16.01.22,164.89996,1,2022,RCP2.6
15.02.22,158.73518,2,2022,RCP2.6
16.03.22,99.05003,3,2022,RCP2.6
16.04.22,55.401875,4,2022,RCP2.6
16.05.22,17.099598,5,2022,RCP2.6
16.06.22,15.917536,6,2022,RCP2.6
16.07.22,15.496323,7,2022,RCP2.6
16.08.22,5.820292,8,2022,RCP2.6
16.09.22,15.821192,9,2022,RCP2.6
16.10.22,70.32786,10,2022,RCP2.6
16.11.22,97.63331,11,2022,RCP2.6
16.12.22,122.669235,12,2022,RCP2.6
16.01.23,116.39542,1,2023,RCP2.6
15.02.23,129.18642,2,2023,RCP2.6
16.03.23,208.74597,3,2023,RCP2.6
16.04.23,84.66684,4,2023,RCP2.6
16.05.23,67.73247,5,2023,RCP2.6
16.06.23,9.770649,6,2023,RCP2.6
16.07.23,9.988859,7,2023,RCP2.6
16.08.23,16.444324,8,2023,RCP2.6
16.09.23,14.523957,9,2023,RCP2.6
16.10.23,48.535053,10,2023,RCP2.6
16.11.23,111.24335,11,2023,RCP2.6
16.12.23,137.15698,12,2023,RCP2.6
16.01.24,165.19261,1,2024,RCP2.6
15.02.24,123.97917,2,2024,RCP2.6
16.03.24,117.612526,3,2024,RCP2.6
16.04.24,94.49498,4,2024,RCP2.6
16.05.24,41.73626,5,2024,RCP2.6
16.06.24,20.796865,6,2024,RCP2.6
16.07.24,4.558503,7,2024,RCP2.6
16.08.24,5.5808372,8,2024,RCP2.6
16.09.24,14.065525,9,2024,RCP2.6
16.10.24,58.023632,10,2024,RCP2.6
16.11.24,117.280106,11,2024,RCP2.6
16.12.24,104.709076,12,2024,RCP2.6
16.01.25,146.42812,1,2025,RCP2.6
15.02.25,101.850586,2,2025,RCP2.6
16.03.25,138.3251,3,2025,RCP2.6
16.04.25,96.2588,4,2025,RCP2.6
16.05.25,31.155832,5,2025,RCP2.6
16.06.25,11.153348,6,2025,RCP2.6
16.07.25,8.042599,7,2025,RCP2.6
16.08.25,4.1220536,8,2025,RCP2.6
16.09.25,18.337664,9,2025,RCP2.6
16.10.25,69.889656,10,2025,RCP2.6
16.11.25,93.3103,11,2025,RCP2.6
16.12.25,145.50122,12,2025,RCP2.6
16.01.26,132.78726,1,2026,RCP2.6
15.02.26,106.7176,2,2026,RCP2.6
16.03.26,131.22952,3,2026,RCP2.6
16.04.26,130.47853,4,2026,RCP2.6
16.05.26,55.04044,5,2026,RCP2.6
16.06.26,38.778305,6,2026,RCP2.6
16.07.26,6.7356596,7,2026,RCP2.6
16.08.26,17.488825,8,2026,RCP2.6
16.09.26,24.141304,9,2026,RCP2.6
16.10.26,41.30067,10,2026,RCP2.6
16.11.26,99.15967,11,2026,RCP2.6
16.12.26,99.68081,12,2026,RCP2.6
16.01.27,130.55528,1,2027,RCP2.6
15.02.27,139.39581,2,2027,RCP2.6
16.03.27,102.80219,3,2027,RCP2.6
16.04.27,126.15453,4,2027,RCP2.6
16.05.27,35.047012,5,2027,RCP2.6
16.06.27,14.523093,6,2027,RCP2.6
16.07.27,19.309752,7,2027,RCP2.6
16.08.27,12.737014,8,2027,RCP2.6
16.09.27,9.646506,9,2027,RCP2.6
16.10.27,74.08159,10,2027,RCP2.6
16.11.27,148.5328,11,2027,RCP2.6
16.12.27,149.98001,12,2027,RCP2.6
16.01.28,152.5997,1,2028,RCP2.6
15.02.28,104.1951,2,2028,RCP2.6
16.03.28,125.26663,3,2028,RCP2.6
16.04.28,115.5187,4,2028,RCP2.6
16.05.28,66.562065,5,2028,RCP2.6
16.06.28,17.687895,6,2028,RCP2.6
16.07.28,5.6172123,7,2028,RCP2.6
16.08.28,12.932009,8,2028,RCP2.6
16.09.28,33.06794,9,2028,RCP2.6
16.10.28,73.987656,10,2028,RCP2.6
16.11.28,143.39738,11,2028,RCP2.6
16.12.28,105.59357,12,2028,RCP2.6
16.01.29,155.55537,1,2029,RCP2.6
15.02.29,139.92468,2,2029,RCP2.6
16.03.29,145.33047,3,2029,RCP2.6
16.04.29,53.736465,4,2029,RCP2.6
16.05.29,45.78588,5,2029,RCP2.6
16.06.29,32.003338,6,2029,RCP2.6
16.07.29,16.197361,7,2029,RCP2.6
16.08.29,12.703844,8,2029,RCP2.6
16.09.29,23.401648,9,2029,RCP2.6
16.10.29,52.783707,10,2029,RCP2.6
16.11.29,96.28641,11,2029,RCP2.6
16.12.29,138.89722,12,2029,RCP2.6
16.01.30,150.34938,1,2030,RCP2.6
15.02.30,141.83514,2,2030,RCP2.6
16.03.30,134.0687,3,2030,RCP2.6
16.04.30,87.19468,4,2030,RCP2.6
16.05.30,47.729847,5,2030,RCP2.6
16.06.30,34.786205,6,2030,RCP2.6
16.07.30,17.280394,7,2030,RCP2.6
16.08.30,5.2738876,8,2030,RCP2.6
16.09.30,30.130766,9,2030,RCP2.6
16.10.30,54.358437,10,2030,RCP2.6
16.11.30,121.805504,11,2030,RCP2.6
16.12.30,102.26963,12,2030,RCP2.6
16.01.31,152.90764,1,2031,RCP2.6
15.02.31,120.70532,2,2031,RCP2.6
16.03.31,122.13865,3,2031,RCP2.6
16.04.31,127.15676,4,2031,RCP2.6
16.05.31,72.58766,5,2031,RCP2.6
16.06.31,34.176956,6,2031,RCP2.6
16.07.31,6.9390693,7,2031,RCP2.6
16.08.31,8.863829,8,2031,RCP2.6
16.09.31,23.832336,9,2031,RCP2.6
16.10.31,49.578117,10,2031,RCP2.6
16.11.31,100.989395,11,2031,RCP2.6
16.12.31,111.67581,12,2031,RCP2.6
16.01.32,182.61215,1,2032,RCP2.6
15.02.32,110.10515,2,2032,RCP2.6
16.03.32,162.19577,3,2032,RCP2.6
16.04.32,61.59046,4,2032,RCP2.6
16.05.32,63.86764,5,2032,RCP2.6
16.06.32,32.913387,6,2032,RCP2.6
16.07.32,7.0578823,7,2032,RCP2.6
16.08.32,8.9507475,8,2032,RCP2.6
16.09.32,6.683552,9,2032,RCP2.6
16.10.32,52.781757,10,2032,RCP2.6
16.11.32,107.22869,11,2032,RCP2.6
16.12.32,127.495926,12,2032,RCP2.6
16.01.33,158.95938,1,2033,RCP2.6
15.02.33,112.168686,2,2033,RCP2.6
16.03.33,121.33906,3,2033,RCP2.6
16.04.33,92.55248,4,2033,RCP2.6
16.05.33,44.13833,5,2033,RCP2.6
16.06.33,11.995086,6,2033,RCP2.6
16.07.33,14.062746,7,2033,RCP2.6
16.08.33,23.323376,8,2033,RCP2.6
16.09.33,17.639755,9,2033,RCP2.6
16.10.33,55.070656,10,2033,RCP2.6
16.11.33,88.63514,11,2033,RCP2.6
16.12.33,137.2615,12,2033,RCP2.6
16.01.34,151.2836,1,2034,RCP2.6
15.02.34,97.845085,2,2034,RCP2.6
16.03.34,78.701706,3,2034,RCP2.6
16.04.34,86.46539,4,2034,RCP2.6
16.05.34,49.985313,5,2034,RCP2.6
16.06.34,17.158354,6,2034,RCP2.6
16.07.34,5.1780047,7,2034,RCP2.6
16.08.34,14.30628,8,2034,RCP2.6
16.09.34,28.812017,9,2034,RCP2.6
16.10.34,47.766678,10,2034,RCP2.6
16.11.34,126.111374,11,2034,RCP2.6
16.12.34,148.94017,12,2034,RCP2.6
16.01.35,174.74286,1,2035,RCP2.6
15.02.35,154.5614,2,2035,RCP2.6
16.03.35,123.443275,3,2035,RCP2.6
16.04.35,100.75838,4,2035,RCP2.6
16.05.35,44.768955,5,2035,RCP2.6
16.06.35,30.319458,6,2035,RCP2.6
16.07.35,11.144772,7,2035,RCP2.6
16.08.35,7.7406197,8,2035,RCP2.6
16.09.35,9.454605,9,2035,RCP2.6
16.10.35,39.19422,10,2035,RCP2.6
16.11.35,108.062416,11,2035,RCP2.6
16.12.35,127.20931,12,2035,RCP2.6
16.01.36,182.20454,1,2036,RCP2.6
15.02.36,138.89192,2,2036,RCP2.6
16.03.36,152.19217,3,2036,RCP2.6
16.04.36,63.64006,4,2036,RCP2.6
16.05.36,38.82781,5,2036,RCP2.6
16.06.36,12.4879265,6,2036,RCP2.6
16.07.36,2.043847,7,2036,RCP2.6
16.08.36,12.415663,8,2036,RCP2.6
16.09.36,19.842533,9,2036,RCP2.6
16.10.36,41.64414,10,2036,RCP2.6
16.11.36,147.07816,11,2036,RCP2.6
16.12.36,121.90656,12,2036,RCP2.6
16.01.37,143.08083,1,2037,RCP2.6
15.02.37,107.28638,2,2037,RCP2.6
16.03.37,105.30684,3,2037,RCP2.6
16.04.37,79.039795,4,2037,RCP2.6
16.05.37,62.472015,5,2037,RCP2.6
16.06.37,36.670902,6,2037,RCP2.6
16.07.37,5.7034755,7,2037,RCP2.6
16.08.37,4.5662537,8,2037,RCP2.6
16.09.37,24.964792,9,2037,RCP2.6
16.10.37,37.84848,10,2037,RCP2.6
16.11.37,79.385895,11,2037,RCP2.6
16.12.37,132.04323,12,2037,RCP2.6
16.01.38,146.26703,1,2038,RCP2.6
15.02.38,156.64636,2,2038,RCP2.6
16.03.38,116.64601,3,2038,RCP2.6
16.04.38,114.08322,4,2038,RCP2.6
16.05.38,30.334234,5,2038,RCP2.6
16.06.38,3.9610143,6,2038,RCP2.6
16.07.38,3.7219815,7,2038,RCP2.6
16.08.38,14.87274,8,2038,RCP2.6
16.09.38,7.7943926,9,2038,RCP2.6
16.10.38,60.502895,10,2038,RCP2.6
16.11.38,125.05015,11,2038,RCP2.6
16.12.38,146.62305,12,2038,RCP2.6
16.01.39,145.34758,1,2039,RCP2.6
15.02.39,122.29916,2,2039,RCP2.6
16.03.39,120.84765,3,2039,RCP2.6
16.04.39,58.84171,4,2039,RCP2.6
16.05.39,73.01865,5,2039,RCP2.6
16.06.39,21.80498,6,2039,RCP2.6
16.07.39,9.260619,7,2039,RCP2.6
16.08.39,4.4060006,8,2039,RCP2.6
16.09.39,13.18355,9,2039,RCP2.6
16.10.39,72.206566,10,2039,RCP2.6
16.11.39,108.659134,11,2039,RCP2.6
16.12.39,124.135025,12,2039,RCP2.6
16.01.40,160.41212,1,2040,RCP2.6
15.02.40,118.45319,2,2040,RCP2.6
16.03.40,68.60622,3,2040,RCP2.6
16.04.40,79.37905,4,2040,RCP2.6
16.05.40,46.2628,5,2040,RCP2.6
16.06.40,6.4668884,6,2040,RCP2.6
16.07.40,11.506881,7,2040,RCP2.6
16.08.40,3.9379318,8,2040,RCP2.6
16.09.40,12.9526,9,2040,RCP2.6
16.10.40,65.16028,10,2040,RCP2.6
16.11.40,87.61331,11,2040,RCP2.6
16.12.40,138.4835,12,2040,RCP2.6
16.01.41,140.2627,1,2041,RCP2.6
15.02.41,156.7832,2,2041,RCP2.6
16.03.41,96.567535,3,2041,RCP2.6
16.04.41,97.81582,4,2041,RCP2.6
16.05.41,45.489697,5,2041,RCP2.6
16.06.41,24.213076,6,2041,RCP2.6
16.07.41,16.865347,7,2041,RCP2.6
16.08.41,3.716616,8,2041,RCP2.6
16.09.41,18.198673,9,2041,RCP2.6
16.10.41,68.095764,10,2041,RCP2.6
16.11.41,85.126495,11,2041,RCP2.6
16.12.41,126.7467,12,2041,RCP2.6
16.01.42,140.19737,1,2042,RCP2.6
15.02.42,103.753204,2,2042,RCP2.6
16.03.42,118.698616,3,2042,RCP2.6
16.04.42,69.68809,4,2042,RCP2.6
16.05.42,21.895433,5,2042,RCP2.6
16.06.42,14.467216,6,2042,RCP2.6
16.07.42,21.903437,7,2042,RCP2.6
16.08.42,13.96314,8,2042,RCP2.6
16.09.42,8.501054,9,2042,RCP2.6
16.10.42,59.37593,10,2042,RCP2.6
16.11.42,96.04948,11,2042,RCP2.6
16.12.42,123.06885,12,2042,RCP2.6
16.01.43,155.56871,1,2043,RCP2.6
15.02.43,130.79488,2,2043,RCP2.6
16.03.43,116.32054,3,2043,RCP2.6
16.04.43,74.299614,4,2043,RCP2.6
16.05.43,64.991936,5,2043,RCP2.6
16.06.43,22.431122,6,2043,RCP2.6
16.07.43,5.9317007,7,2043,RCP2.6
16.08.43,10.832128,8,2043,RCP2.6
16.09.43,12.867999,9,2043,RCP2.6
16.10.43,44.01535,10,2043,RCP2.6
16.11.43,89.338936,11,2043,RCP2.6
16.12.43,123.643394,12,2043,RCP2.6
16.01.44,196.67303,1,2044,RCP2.6
15.02.44,121.75412,2,2044,RCP2.6
16.03.44,143.47432,3,2044,RCP2.6
16.04.44,128.49101,4,2044,RCP2.6
16.05.44,31.33466,5,2044,RCP2.6
16.06.44,8.844407,6,2044,RCP2.6
16.07.44,4.270875,7,2044,RCP2.6
16.08.44,6.81988,8,2044,RCP2.6
16.09.44,25.224163,9,2044,RCP2.6
16.10.44,75.53976,10,2044,RCP2.6
16.11.44,68.959785,11,2044,RCP2.6
16.12.44,123.73903,12,2044,RCP2.6
16.01.45,139.00952,1,2045,RCP2.6
15.02.45,93.59765,2,2045,RCP2.6
16.03.45,126.854195,3,2045,RCP2.6
16.04.45,118.69919,4,2045,RCP2.6
16.05.45,46.043507,5,2045,RCP2.6
16.06.45,23.92126,6,2045,RCP2.6
16.07.45,6.3807874,7,2045,RCP2.6
16.08.45,3.8044312,8,2045,RCP2.6
16.09.45,19.008251,9,2045,RCP2.6
16.10.45,94.85274,10,2045,RCP2.6
16.11.45,105.56702,11,2045,RCP2.6
16.12.45,148.4803,12,2045,RCP2.6
16.01.46,175.06079,1,2046,RCP2.6
15.02.46,112.476776,2,2046,RCP2.6
16.03.46,155.47353,3,2046,RCP2.6
16.04.46,54.835735,4,2046,RCP2.6
16.05.46,52.917496,5,2046,RCP2.6
16.06.46,13.956461,6,2046,RCP2.6
16.07.46,5.429601,7,2046,RCP2.6
16.08.46,4.5565047,8,2046,RCP2.6
16.09.46,13.190008,9,2046,RCP2.6
16.10.46,67.18181,10,2046,RCP2.6
16.11.46,91.80036,11,2046,RCP2.6
16.12.46,107.71836,12,2046,RCP2.6
16.01.47,150.2912,1,2047,RCP2.6
15.02.47,162.98422,2,2047,RCP2.6
16.03.47,109.32875,3,2047,RCP2.6
16.04.47,86.486786,4,2047,RCP2.6
